qid	uuid	is_answear
1145	8588	0.0
2951	4905	1.0
1856	2207	0.0
1411	9840	0.0
608	19335	0.0
314	735	0.0
841	7741	0.0
1235	1214	0.0
3137	4769	0.0
765	425	0.0
1106	8462	0.0
490	4821	0.0
353	10391	0.0
784	3652	0.0
532	1650	0.0
5035	1052	0.0
2229	13862	0.0
3870	9403	0.0
795	9510	0.0
701	15855	0.0
393	17487	0.0
10	2491	0.5
275	6169	1.0
1324	3422	1.0
1447	19729	0.0
1272	4205	0.0
795	13323	0.0
1219	15263	0.0
3183	5014	0.0
1324	11391	0.0
671	22061	0.0
370	9161	0.0
89	13958	0.0
1492	1963	0.0
478	20598	0.0
321	7132	0.0
87	3642	0.0
1493	229	0.0
388	8146	1.0
138	3249	0.0
1969	3337	0.0
3505	16823	0.0
1773	1953	1.0
545	6163	0.0
4687	9793	0.0
372	14971	0.0
886	494	0.0
189	678	0.0
5644	17751	0.0
1250	8051	0.0
2173	3807	1.0
1838	19	0.0
4190	7730	0.0
1694	825	1.0
1929	5909	0.0
4352	5466	0.0
2403	16911	1.0
675	11744	0.0
2121	5327	0.0
1781	13738	0.0
519	7197	0.0
1992	12333	0.0
6248	26816	0.0
2635	4139	0.0
874	3502	0.0
430	2382	0.0
2385	3846	0.0
2526	13618	0.0
1009	2624	0.0
731	2939	0.0
4004	1136	0.0
1078	5424	1.0
3073	1248	0.0
953	10241	1.0
6192	23086	0.0
1166	13633	0.0
3544	6650	1.0
321	12656	0.0
631	10154	0.0
291	10251	0.0
5	9533	0.0
1550	11016	0.0
879	7791	0.0
532	4248	0.0
999	9417	0.0
5643	570	0.0
4974	18535	0.0
5899	574	0.0
6006	4201	1.0
1919	4841	0.0
347	3889	0.0
1110	4214	0.0
831	86	0.0
4056	5142	0.0
2896	1020	0.0
2525	508	0.0
1078	450	0.0
2350	7593	0.0
108	11007	0.0
748	1020	1.0
3410	1152	1.0
4366	1016	1.0
4314	15843	0.0
4623	2157	0.0
16	5700	0.0
351	8927	0.0
31	1741	0.0
2932	6471	0.0
319	17134	0.0
1531	5934	0.0
227	7004	0.0
348	3038	0.0
211	4869	0.0
4356	1294	0.0
2131	11265	0.0
5859	14260	0.0
357	3244	0.0
1209	1	1.0
227	10543	0.0
6409	5562	1.0
198	9743	0.0
566	20001	0.0
5128	10147	0.0
823	15390	0.0
2487	2993	0.0
198	7762	0.0
1613	8251	1.0
87	259	0.0
924	973	0.0
578	7842	0.0
347	4449	0.0
995	8593	0.0
1457	3374	0.0
1742	14162	0.0
267	19191	0.0
787	1745	0.0
1201	8462	0.0
929	12676	0.0
7363	12269	0.0
794	2939	0.0
409	2502	0.0
3290	6975	0.0
5320	2290	0.0
5171	14114	0.0
277	8186	0.0
1526	158	0.0
1058	10103	1.0
3944	126	0.0
247	5464	0.0
2517	8151	0.0
1999	4282	0.0
589	12524	0.0
189	5797	0.0
151	285	0.0
5635	12857	1.0
4825	11730	0.0
159	7385	0.0
3439	6869	0.0
18	24109	0.0
5428	4186	0.0
625	6943	0.0
1369	7490	0.0
294	5729	0.0
779	1802	0.0
694	3187	0.0
1090	12899	1.0
2626	3191	0.0
828	69	0.0
102	16950	0.0
257	1690	0.0
240	12875	1.0
5708	4746	0.0
348	2144	0.0
4346	4649	0.0
62	12854	0.0
1967	8364	0.0
833	8144	0.0
1035	2151	0.0
1297	1994	0.0
703	6503	0.0
2187	1249	0.0
2472	10838	0.0
6150	136	1.0
3482	580	0.0
4729	1837	0.0
894	5713	0.0
3413	5404	0.0
80	8273	0.0
1525	787	1.0
5517	18116	0.0
813	1086	1.0
623	10333	0.0
919	2305	0.0
4222	405	0.0
833	1494	0.0
910	5687	0.0
1079	9027	0.0
1770	20863	1.0
480	297	0.0
2142	17328	0.0
2357	3661	0.0
6273	589	0.0
153	19962	0.0
689	1427	0.0
130	3539	0.0
2993	9887	0.0
3717	12571	0.0
321	17633	0.0
34	18630	0.0
313	647	0.0
4322	6683	0.0
6623	17815	0.0
1678	18	0.0
5368	16156	0.0
3750	1859	0.0
907	11532	1.0
2589	15793	0.0
4709	15082	0.0
1549	4113	0.0
941	36	1.0
1629	11203	0.0
4683	1538	0.0
1044	23650	0.0
62	10957	0.0
1684	10122	0.0
1029	1650	0.0
1454	6471	0.0
563	8057	0.0
1778	2095	0.0
2089	17173	0.0
2128	2877	0.0
45	11305	0.0
5174	1033	0.0
2959	3224	0.0
272	4677	0.0
2573	123	0.0
4156	2079	0.0
130	3695	0.0
1692	1781	1.0
1496	2475	0.0
554	15855	0.0
1848	9890	0.0
2402	14577	0.0
4317	8494	0.0
409	8227	0.0
1766	1403	0.0
43	6143	0.0
542	2234	0.0
6312	12550	0.0
5144	7473	1.0
623	7938	0.0
4589	3175	1.0
750	13356	0.0
2740	18642	0.0
1714	6198	0.0
144	4079	0.0
3602	2377	0.0
6286	1433	0.0
129	10666	0.0
2662	1631	1.0
1435	1795	0.0
142	2624	0.0
194	23913	1.0
553	27	0.0
390	605	0.0
554	811	0.0
1323	11449	0.0
761	349	0.0
5763	14926	0.0
1285	1364	0.0
1610	3147	0.0
542	6445	0.0
1146	14390	0.0
2020	14847	0.0
391	3859	0.0
953	21238	0.0
649	2691	0.0
886	10847	0.0
1140	8972	0.0
2401	6652	0.0
2558	4881	0.0
1291	3693	0.0
150	4626	0.0
129	11127	0.0
1663	951	0.0
7197	7627	0.0
28	4091	0.0
579	12138	0.0
827	6236	0.0
2038	19716	0.0
406	313	0.0
3769	2538	0.0
4159	173	0.0
409	10685	0.0
2577	21756	1.0
1028	3932	1.0
1280	11209	0.0
4708	18296	0.0
438	7004	0.0
497	1537	0.5
5583	12286	0.0
4733	6894	0.0
2878	12423	0.0
1374	22653	0.0
803	7320	0.0
1018	5732	1.0
2599	3167	1.0
63	5734	0.0
2175	18642	0.0
3140	6159	0.0
459	11580	0.0
2411	7944	0.0
835	4112	0.0
577	2005	0.0
2695	6489	0.0
507	2101	0.0
1627	7560	0.0
528	13903	0.0
503	8507	0.0
3976	22157	0.0
1880	6401	0.0
1461	5511	1.0
507	3482	0.0
382	3593	0.0
679	5491	0.0
137	777	0.0
4029	7423	0.0
719	12974	0.0
763	2663	1.0
227	1471	0.0
2624	13162	0.0
885	11960	0.0
3536	965	0.0
896	1094	0.0
1613	10559	0.0
571	2018	0.0
47	3468	0.0
1013	10305	0.0
920	11278	0.0
472	6044	1.0
1496	767	1.0
4749	2680	1.0
1018	609	0.0
2767	646	0.0
450	16814	0.0
1383	3900	0.0
1032	1763	0.0
2582	3871	0.0
2986	5436	0.0
304	9537	0.0
1283	8204	0.0
459	4495	1.0
3373	664	0.0
208	17157	0.0
1993	1327	0.0
189	3112	0.0
2143	10057	0.0
3436	4508	0.0
2284	7172	0.0
524	2071	0.0
31	9096	0.0
14	3699	0.0
589	7670	0.0
377	7880	0.0
4647	11865	0.0
4014	4720	0.0
545	9028	0.0
1396	11468	0.0
791	8382	0.0
7085	6026	0.0
389	2184	0.0
72	10899	0.0
5513	14409	1.0
422	22207	0.0
214	591	0.0
375	9311	0.0
4449	3518	0.0
4151	6588	0.0
1806	15384	0.0
293	4764	0.0
2795	21066	0.0
4535	15575	1.0
372	6500	0.0
1263	3493	0.0
5936	7174	0.0
3231	5062	1.0
636	6599	1.0
242	2031	0.0
1247	1137	0.0
663	1290	0.0
619	14350	0.0
1164	3523	0.0
472	17615	1.0
1359	9363	0.0
304	18119	0.0
4592	5117	1.0
1001	7065	0.0
1490	9471	0.0
1257	5487	0.0
2589	4134	0.0
1881	2257	0.0
4024	16682	0.0
80	4194	0.0
283	1137	0.0
101	11577	0.0
1339	1377	0.0
3214	5072	0.0
293	7483	0.0
2533	10147	0.0
90	10309	0.0
329	9233	0.0
382	10189	0.0
6103	4553	0.0
1911	3717	0.0
4036	13950	0.0
129	2476	0.0
1037	1373	0.0
3049	4540	0.0
227	1245	0.0
335	4564	0.0
714	14554	0.0
820	13352	0.0
954	1185	0.0
2159	672	0.0
4467	3557	0.0
159	11042	0.0
825	2226	0.0
661	14744	0.0
518	5287	0.0
1985	2222	0.0
18	4137	0.0
285	1715	0.0
4909	3189	0.0
250	5282	0.0
1336	1097	0.0
562	2185	0.0
4501	4890	0.0
519	20759	0.0
1970	15793	0.0
409	1975	0.0
419	1040	0.0
1048	3413	0.0
3536	7341	0.0
3506	1	1.0
724	5064	0.0
62	14541	0.0
1008	10333	0.0
416	4097	0.0
693	2962	0.0
2754	8820	0.0
35	3482	0.0
1570	273	0.0
2905	13102	0.0
450	16413	0.0
4231	3297	1.0
2512	402	0.0
6545	5858	0.0
141	2289	0.0
6840	2342	0.0
6361	1407	0.0
2420	17417	0.0
3619	6719	0.0
1470	4794	1.0
865	16199	0.0
1000	7190	0.5
3714	6765	0.0
6371	6719	0.0
2504	7763	0.0
496	5877	0.0
2268	13593	0.0
152	9218	0.0
102	5241	0.0
87	1537	1.0
1144	20069	0.0
496	12405	0.0
172	15334	0.0
1903	7981	0.0
2172	1704	1.0
1835	972	0.0
4140	817	1.0
382	9256	0.0
3413	9800	0.0
564	3817	0.0
2271	630	0.0
2358	819	0.0
1109	15563	0.0
2657	1230	0.0
1269	9792	0.0
1619	2534	0.0
1540	22965	0.0
4971	2396	0.0
385	14836	0.0
1655	6897	0.0
725	9510	0.0
2515	4004	0.0
3177	3573	0.0
774	2429	0.0
5164	2969	1.0
503	167	0.0
1579	1482	0.0
154	6825	1.0
175	5918	0.0
409	24	0.0
4982	2232	0.0
283	3879	0.0
14	1604	0.0
1290	16334	0.0
2757	9802	0.0
866	12451	0.0
257	6403	0.0
4739	3534	1.0
2252	7511	0.0
1532	4562	0.0
976	1364	0.0
701	3067	0.0
1158	10263	0.0
294	11364	0.0
864	3038	0.0
1436	6783	0.0
468	6807	0.0
507	707	0.0
3487	6760	0.0
1555	11846	0.0
1557	11113	0.0
1196	1808	0.0
1766	994	0.0
564	5491	1.0
253	5546	0.0
6220	8784	0.0
89	9157	0.0
1048	680	1.0
794	2939	0.0
2434	6032	0.0
4537	9109	1.0
593	5756	0.0
77	1766	0.0
159	7476	0.0
589	6981	0.0
1560	16982	0.0
3870	18365	0.0
2397	3743	0.0
95	1842	0.0
5568	749	0.0
1669	3373	0.0
741	2835	0.0
410	2080	0.0
2869	6167	0.0
561	568	0.0
765	24412	0.0
409	2667	0.0
3962	433	0.0
835	22880	0.0
153	18561	0.0
4277	12643	0.0
293	5637	0.0
2286	8893	0.0
2120	7507	1.0
2608	12020	0.0
416	233	0.0
5373	341	0.0
5343	5044	0.0
765	21011	0.0
4640	3133	0.0
4942	20106	0.0
1146	11835	1.0
2902	1538	0.0
6212	3060	0.0
399	4370	0.0
2573	306	0.0
4181	22082	0.0
681	5371	0.0
10	2239	0.0
3025	13146	0.0
148	5564	0.0
5188	9763	0.0
457	6717	0.0
5413	15256	0.0
389	9794	0.0
4032	5403	0.0
1200	2724	0.0
21	364	0.0
1504	1807	1.0
2031	6953	0.0
555	2880	0.0
4379	25411	0.0
2009	15211	0.0
1261	807	0.0
211	18934	0.0
281	13164	0.0
80	1691	0.0
2656	1769	1.0
1393	2288	0.0
3234	15869	0.0
3750	2512	0.0
2911	1796	0.0
2523	21851	0.0
1075	8797	0.0
3064	1359	0.0
1614	3011	0.0
929	1983	0.0
2650	7666	0.0
5290	949	1.0
557	5701	1.0
9	4156	0.0
4228	8201	0.0
3978	10718	0.0
2512	1487	0.0
3112	8392	0.0
129	1875	0.0
623	12000	0.0
652	6692	0.0
6011	4594	0.0
1234	11244	0.0
1137	6408	0.0
3441	12423	0.0
432	6182	0.0
295	14255	0.0
528	8327	0.0
559	7105	0.0
2587	26537	0.0
559	5430	0.0
2324	8016	0.0
5316	15896	0.0
291	18476	0.0
900	8210	0.0
6479	6526	0.0
1604	2412	0.0
6772	12561	1.0
646	4727	1.0
552	4675	0.0
4773	5228	0.0
1107	5399	1.0
389	14857	1.0
13	6442	0.0
432	8832	0.0
2619	7617	0.0
2187	16836	0.0
1340	2113	0.0
330	4427	0.0
47	3996	0.0
2263	8384	0.0
827	12329	0.0
